# This document produced by structureHarvester core version vB.1 July 2022
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vB.1 July 2022
# File generated at 2025-Jan-27 13:03:09 GMT
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	30	-1007893.896667	4.092591
str_K3_rep27_f		3	-992026.7	-990624.1	2805.1
str_K3_rep8_f		3	-992013.2	-990623.1	2780.2
str_K3_rep19_f		3	-991961.3	-990625.4	2671.7
str_K3_rep20_f		3	-991961.3	-990625.4	2671.9
str_K3_rep7_f		3	-991996.8	-990624.0	2745.7
str_K3_rep5_f		3	-991977.4	-990626.2	2702.3
str_K3_rep24_f		3	-991994.1	-990621.8	2744.5
str_K3_rep25_f		3	-992041.0	-990624.2	2833.7
str_K3_rep14_f		3	-991979.1	-990623.7	2710.7
str_K3_rep11_f		3	-991957.7	-990621.6	2672.2
str_K3_rep10_f		3	-992007.0	-990623.5	2767.0
str_K3_rep17_f		3	-991991.2	-990625.6	2731.2
str_K3_rep4_f		3	-992002.9	-990623.9	2757.9
str_K3_rep22_f		3	-991999.2	-990623.4	2751.5
str_K3_rep28_f		3	-991949.6	-990623.4	2652.4
str_K3_rep1_f		3	-992006.2	-990623.9	2764.8
str_K3_rep13_f		3	-992002.3	-990626.2	2752.1
str_K3_rep15_f		3	-991980.1	-990623.2	2713.9
str_K3_rep21_f		3	-991995.2	-990624.9	2740.5
str_K3_rep29_f		3	-991981.4	-990626.7	2709.3
str_K3_rep16_f		3	-991980.8	-990623.2	2715.3
str_K3_rep3_f		3	-991998.5	-990624.3	2748.2
str_K3_rep2_f		3	-991980.1	-990625.5	2709.2
str_K3_rep30_f		3	-991996.0	-990624.4	2743.2
str_K3_rep18_f		3	-991967.6	-990624.0	2687.2
str_K3_rep12_f		3	-991986.5	-990622.5	2728.1
str_K3_rep9_f		3	-991984.9	-990621.2	2727.4
str_K1_rep4_f		1	-1007892.6	-1007502.5	780.1
str_K1_rep5_f		1	-1007892.8	-1007502.5	780.5
str_K1_rep30_f		1	-1007896.2	-1007502.7	787.0
str_K1_rep25_f		1	-1007894.5	-1007502.7	783.6
str_K1_rep8_f		1	-1007890.5	-1007502.3	776.4
